donor,acceptor,KBT,rate,gamma,labels
0,1,,100,,_
1,0,,1e9,,_
1,2,,1e12,,
2,1,25,1e12,,CS
2,3,,1e3,,
3,2,25,1e3,,Ox
2,4,,1e12,, this is charge seperation but part 2
4,2,25,1e12,,CS
4,5,,1e3,,
5,4,25,1e3,,Red
3,6,,1e3,,
6,3,25,1e3,,Red
4,6,,1e3,,
6,4,25,1e3,,Ox
6,7,,1e3,,
7,6,25,1e3,,Red
5,7,,1e3,,
7,5,25,1e3,,Ox
7,0,,1e3
2,0,,1,,CR
